"usda_symbol","scientific_name","common_name","family","genus","usda_group"
"SCCH2","Scutellaria ×churchilliana Fernald (pro sp.) [galericulata × lateriflora]","skullcap",,"Scutellaria","Dicot"
"SCCIC","Scleria ciliata Michx. var. ciliata ","fringed nutrush",,"Scleria","Monocot"
"SCCO19","Schaereria corticola Muhr & Tønsberg",,,"Schaereria","Lichen"
"SCDI","Scirpus diffusus Schuyler","umbrella bulrush",,"Scirpus","Monocot"
"SCDI7","Schizaea dichotoma (L.) Sm.",,,"Schizaea","Fern"
"SCER6","Schoenoplectiella erecta (Poir.) Lye","sharpscale bulrush",,"Schoenoplectiella","Monocot"
"SCFR5","Schizachyrium fragile (R. Br.) A. Camus","small redleaf",,"Schizachyrium","Monocot"
"SCGA3","Scaevola gaudichaudii Hook. & Arn.","ridgetop naupaka",,"Scaevola","Dicot"
"SCHKU","Schkuhria Roth","false threadleaf",,"Schkuhria","Dicot"
"SCHLU","Schlumbergera Lem.","schlumbergera",,"Schlumbergera","Dicot"
"SCHOE7","Schoenoplectiella Lye","bulrush",,"Schoenoplectiella","Monocot"
"SCHY","Scyphiphora hydrophylacea C.F. Gaertn.","yamstick mangrove",,"Scyphiphora","Dicot"
"SCIAP","Sciaphila Blume",,,"Sciaphila","Monocot"
"SCIN2","Scutellaria integrifolia L.","helmet flower",,"Scutellaria","Dicot"
"SCIRR","Scapania irrigua (Nees) Gottsche & Lindenb. & Nees ssp. rufescens (Loeske) R.M. Schust.",,,"Scapania","Liverwort"
"SCKA","Schiedea kaalae Wawra","Oahu schiedea",,"Schiedea","Dicot"
"SCKE","Schiedea kealiae Caum & Hosaka","Waianae Range schiedea",,"Schiedea","Dicot"
"SCLA2","Scutellaria lateriflora L.","blue skullcap",,"Scutellaria","Dicot"
"SCLI13","Scopelophila ligulata (Spruce) Spruce","ligulate scopelophila moss",,"Scopelophila","Moss"
"SCLIL","Scapania lingulata H. Buch var. lingulata ",,,"Scapania","Liverwort"
"SCMA7","Scrophularia macrantha Greene ex Stiefelhagen","New Mexico figwort",,"Scrophularia","Dicot"
"SCMI5","Scleria mitis P.J. Bergius [excluded]",,,"Scleria","Monocot"
"SCMU15","Schoenoplectiella mucronata (L.) J. Jung & H.K. Choi","bog bulrush",,"Schoenoplectiella","Monocot"
"SCMUP3","Scapania mucronata H. Buch ssp. praetervisa (Meyl.) R.M. Schust.",,,"Scapania","Liverwort"
"SCNE","Scirpus nevadensis S. Watson","Nevada bulrush",,"Scirpus","Monocot"
"SCNE4","Scapania nemorea (L.) Grolle",,,"Scapania","Liverwort"
"SCNI","Schoenus nigricans L.","black bogrush",,"Schoenus","Monocot"
"SCORP","Scorpiurus L.","scorpion's-tail",,"Scorpiurus","Dicot"
"SCOVC2","Scutellaria ovata Hill ssp. cuthbertii (Alexander) Epling","Cuthbert's skullcap",,"Scutellaria","Dicot"
"SCPAA3","Scheuchzeria palustris L. ssp. americana (Fernald) Hultén","rannoch-rush",,"Scheuchzeria","Monocot"
"SCPAI2","Sclerocactus parviflorus Clover & Jotter ssp. intermedius (Peebles) K.D. Heil & J.M. Porter","intermediate fishhook cactus",,"Sclerocactus","Dicot"
"SCPAM","Scutellaria parvula Michx. var. missouriensis (Torr.) Goodman & C.A. Lawson","Leonard's skullcap",,"Scutellaria","Dicot"
"SCPAR","Scapania paludicola Loeske & Müll. Frib. var. rotundiloba R.M. Schust.",,,"Scapania","Liverwort"
"SCPAR2","Scapania paradoxa R.M. Schust. var. ramosa ",,,"Scapania","Liverwort"
"SCPE12","Scapania perssonii R.M. Schust.",,,"Scapania","Liverwort"
"SCPE14","Schiedea pentamera W.L. Wagner & E. Harris","hairy schiedea",,"Schiedea","Dicot"
"SCPE6","Schismatomma pericleum (Ach.) Branth & Rostrup",,,"Schismatomma","Lichen"
"SCPO7","Schinus polygamus (Cav.) Cabrera","Hardee peppertree",,"Schinus","Dicot"
"SCPOD","Scutellaria potosina Brandegee ssp. potosina var. davisiana B.L. Turner","Mexican skullcap",,"Scutellaria","Dicot"
"SCPTM","Scleria pterota C. Presl ex C.B. Clarke var. melaleuca (Rchb. ex Schltdl. & Cham.) Standl.","cortadora blanca",,"Scleria","Monocot"
"SCPU","Schizachne purpurascens (Torr.) Swallen","false melic",,"Schizachne","Monocot"
"SCPU10","Schoenoplectus pungens (Vahl) Palla","common threesquare",,"Schoenoplectus","Monocot"
"SCPU14","Schoenoplectiella purshiana (Fernald) Lye","weakstalk bulrush",,"Schoenoplectiella","Monocot"
"SCPU17","Schoenus punctatus R. Br.",,,"Schoenus","Monocot"
"SCPUL4","Schoenoplectus pungens (Vahl) Palla var. longispicatus (Britton) S.G. Sm.","common threesquare",,"Schoenoplectus","Monocot"
"SCSA6","Scutellaria sapphirina (Barneby) Olmstead","White Pine skullcap",,"Scutellaria","Dicot"
"SCSAH","Schizachyrium sanguineum (Retz.) Alston var. hirtiflorum (Nees) Hatch","crimson bluestem",,"Schizachyrium","Monocot"
"SCSCS","Schizachyrium scoparium (Michx.) Nash var. scoparium ","little bluestem",,"Schizachyrium","Monocot"
"SCSM3","Schoenoplectiella smithii (A. Gray) Hayas.","Smith's bulrush",,"Schoenoplectiella","Monocot"
"SCTA2","Schoenoplectus tabernaemontani (C.C. Gmel.) Palla","softstem bulrush",,"Schoenoplectus","Monocot"
"SCTE11","Schistidium tenerum (J.E. Zetterst.) Nyholm","schistidium moss",,"Schistidium","Moss"
"SCTE15","Scutellaria texana B.L. Turner","Texas skullcap",,"Scutellaria","Dicot"
"SCTE5","Schizachyrium tenerum Nees","slender little bluestem",,"Schizachyrium","Monocot"
"SCTOC","Scleropodium touretii (Brid.) L.F. Koch var. colpophyllum (Sull.) E. Lawton ex H.A. Crum","Touret's scleropodium moss",,"Scleropodium","Moss"
"SCTU2","Scutellaria tuberosa Benth.","Danny's skullcap",,"Scutellaria","Dicot"
"SCVE2","Scleria verticillata Muhl. ex Willd.","low nutrush",,"Scleria","Monocot"
"SCWH","Sclerocactus whipplei (Engelm. & J.M. Bigelow) Britton & Rose","Whipple's fishhook cactus",,"Sclerocactus","Dicot"
"SCYBA","Scybalium Schott & Endl.","scybalium",,"Scybalium","Dicot"
"SEAD","Setaria adhaerens (Forssk.) Chiov.","bur bristlegrass",,"Setaria","Monocot"
"SEAL","Sedum album L.","white stonecrop",,"Sedum","Dicot"
"SEAMA","Senecio amplectens A. Gray var. amplectens ","showy alpine ragwort",,"Senecio","Dicot"
"SEAN9","Senna angulata (Vogel) H.S. Irwin & Barneby",,,"Senna","Dicot"
"SEARA2","Selaginella arenicola Underw. ssp. arenicola ","sand spikemoss",,"Selaginella","Lycopod"
"SEARZ","Senna artemisioides (Gaudich. ex DC.) Randell ssp. zygophylla (Benth.) Randell",,,"Senna","Dicot"
"SEBI6","Seymeria bipinnatisecta Seem.","Eagle Pass blacksenna",,"Seymeria","Dicot"
"SEBI9","Sebastiania bilocularis S. Watson","arrow poision plant",,"Sebastiania","Dicot"
"SEBIB","Senecio bigelovii A. Gray var. bigelovii ","nodding ragwort",,"Senecio","Dicot"
"SECE","Secale cereale L.","cereal rye",,"Secale","Monocot"
"SECI2","Senecio cineraria DC.","dusty miller",,"Senecio","Dicot"
"SECL","Senecio clarkianus A. Gray","Clark's ragwort",,"Senecio","Dicot"
"SECO2","Senecio congestus (R. Br.) DC.","marsh fleabane",,"Senecio","Dicot"
"SECY6","Sesleria cylindrica (Balb.) DC.",,,"Sesleria","Monocot"
"SEDA2","Sedum dasyphyllum L.","thick-leaf stonecrop",,"Sedum","Dicot"
"SEDU","Senna durangensis (Rose) Irwin & Barneby","Durango senna",,"Senna","Dicot"
"SEEC","Selaginella eclipes W.R. Buck","hidden spikemoss",,"Selaginella","Lycopod"
"SEER8","Senegalia erubescens (Welw. ex Oliv.) Kyal. & Boatwr.",,,"Senegalia","Dicot"
"SEFL3","Senecio flaccidus Less.","threadleaf ragwort",,"Senecio","Dicot"
"SEFLD","Senecio flaccidus Less. var. douglasii (DC.) B.L. Turner & T.M. Barkley","Douglas' ragwort",,"Senecio","Dicot"
"SEFLF","Senecio flaccidus Less. var. flaccidus ","threadleaf ragwort",,"Senecio","Dicot"
"SEFRO","Senecio fremontii Torr. & A. Gray var. occidentalis A. Gray","dwarf mountain ragwort",,"Senecio","Dicot"
"SEGO","Senegalia goetzei (Harms) Kyal. & Boatwr.",,,"Senegalia","Dicot"
"SEGR4","Senegalia greggii (A. Gray) Britton & Rose","catclaw acacia",,"Senegalia","Dicot"
"SEHE8","Sesbania herbacea (Mill.) McVaugh","bigpod sesbania",,"Sesbania","Dicot"
"SEIN8","Setaria incrassata (Hochst.) Hack.",,,"Setaria","Monocot"
"SEINE","Senecio integerrimus Nutt. var. exaltatus (Nutt.) Cronquist","Columbia ragwort",,"Senecio","Dicot"
"SEKAK","Serianthes kanehirae Fosberg var. kanehirae ","ukall",,"Serianthes","Dicot"
"SELE8","Senecio lemmonii A. Gray","Lemmon's ragwort",,"Senecio","Dicot"
"SEMA20","Senecio mandraliscae (Tineo) H. Jacobsen","blue finger",,"Senecio","Dicot"
"SEMA4","Setaria macrosperma (Scribn. & Merr.) K. Schum.","coral bristlegrass",,"Setaria","Monocot"
"SEMAT","Sematophyllum Mitt.","sematophyllum moss",,"Sematophyllum","Moss"
"SEMU14","Senna multiglandulosa (Jacq.) Irwin & Barneby","glandular senna",,"Senna","Dicot"
"SEMU5","Senna multijuga (Rich.) Irwin & Barneby","false sicklepod",,"Senna","Dicot"
"SEMU9","Senecio multidentatus Sch. Bip. ex Hemsl.","Huachuca Mountain ragwort",,"Senecio","Dicot"
"SENI","Sedum niveum Davidson","Davidson's stonecrop",,"Sedum","Dicot"
"SENI4","Senegalia nigrescens (Oliv.) P.J.H. Hurter",,,"Senegalia","Dicot"
"SEOD","Senna odorata (R. Morris) Randell",,,"Senna","Dicot"
"SEOR","Sedum oreganum Nutt.","Oregon stonecrop",,"Sedum","Dicot"
"SEOR2","Sedum oregonense (S. Watson) M. Peck","cream stonecrop",,"Sedum","Dicot"
"SEORC2","Sericocarpus oregonensis Nutt. var. californicus (Durand) G.L. Nesom","Oregon whitetop aster",,"Sericocarpus","Dicot"
"SEPA2","Senecio parryi A. Gray","mountain ragwort",,"Senecio","Dicot"
"SEPEG","Senna pendula (Humb. & Bonpl. ex Willd.) Irwin & Barneby var. glabrata (Vogel) Irwin & Barneby","valamuerto",,"Senna","Dicot"
"SEPS4","Selaginella pseudovolkensii Hosok.","spikemoss",,"Selaginella","Lycopod"
"SEPU7","Sesbania punicea (Cav.) Benth.","rattlebox",,"Sesbania","Dicot"
"SERAD","Sedum radiatum S. Watson ssp. depauperatum R.T. Clausen","Coast Range stonecrop",,"Sedum","Dicot"
"SESEA","Senecio serra Hook. var. admirabilis (Greene) A. Nelson","tall ragwort",,"Senecio","Dicot"
"SESLE","Sesleria Scop.",,,"Sesleria","Monocot"
"SESO2","Senna sophera (L.) Roxb.","algarrobilla",,"Senna","Dicot"
"SESPA2","Setaria sphacelata (Schumach.) Stapf & C.E. Hubb. ex M.B. Moss var. anceps (Stapf) Veldkamp",,,"Setaria","Monocot"
"SESPM","Senecio spartioides Torr. & A. Gray var. multicapitatus (Greenm. ex Rydb.) S.L. Welsh","broom-like ragwort",,"Senecio","Dicot"
"SEST2","Sedum stenopetalum Pursh","wormleaf stonecrop",,"Sedum","Dicot"
"SESU10","Senna sulfurea (DC. ex Collad.) Irwin & Barneby","smooth senna",,"Senna","Dicot"
"SESU70","Seligeria subimmersa Lindb.","small limestone moss",,"Seligeria","Moss"
"SETE12","Sesbania tetraptera Hochst. ex Baker",,,"Sesbania","Dicot"
"SEVA5","Sedum valens Björk","Idaho stonecrop",,"Sedum","Dicot"
"SEVE5","Setaria verticilliformis Dunart.","barbed bristlegrass",,"Setaria","Monocot"
"SEVIV","Setaria viridis (L.) P. Beauv. var. viridis ","green bristlegrass",,"Setaria","Monocot"
"SEWA2","Selaginella watsonii Underw.","Watson's spikemoss",,"Selaginella","Lycopod"
"SHAR","Shepherdia argentea (Pursh) Nutt.","silver buffaloberry",,"Shepherdia","Dicot"
"SHGA","Shortia galacifolia Torr. & A. Gray","Oconee bells",,"Shortia","Dicot"
"SHIBA","Shibataea Makino ex Nakai",,,"Shibataea","Monocot"
"SHIRA","Shirakiopsis Esser","shirakiopsis",,"Shirakiopsis","Dicot"
"SIAC3","Sida acuta Burm. f.","common wireweed",,"Sida","Dicot"
"SIACE","Silene acaulis (L.) Jacq. var. exscapa (All.) DC.","moss campion",,"Silene","Dicot"
"SIAM2","Sideroxylon americanum (Mill.) T.D. Penn.","milk-berry",,"Sideroxylon","Dicot"
"SIAN2","Silene antirrhina L.","sleepy silene",,"Silene","Dicot"
"SIASN","Sidalcea asprella Greene ssp. nana (Jeps.) S.R. Hill","dwarf checkerbloom",,"Sidalcea","Dicot"
"SIAT","Sisyrinchium atlanticum E.P. Bicknell","eastern blue-eyed grass",,"Sisyrinchium","Monocot"
"SIAU2","Sisymbrium auriculatum A. Gray","eared hedgemustard",,"Sisymbrium","Dicot"
"SIBAR","Sibara Greene","winged rockcress",,"Sibara","Dicot"
"SIBE","Sisyrinchium bellum S. Watson","western blue-eyed grass",,"Sisyrinchium","Monocot"
"SIBER","Silene bernardina S. Watson ssp. maguirei Bocquet var. rigidula (B.L. Rob.) Tiehm","Palmer's catchfly",,"Silene","Dicot"
"SIBES","Silene bernardina S. Watson ssp. maguirei Bocquet var. sierrae (C.L. Hitchc. & Maguire) Bocquet","Palmer's catchfly",,"Silene","Dicot"
"SICA8","Sisyrinchium californicum (Ker Gawl.) Aiton","golden blue-eyed grass",,"Sisyrinchium","Monocot"
"SICE2","Sideroxylon celastrinum (Kunth) T.D. Penn.","saffron plum",,"Sideroxylon","Dicot"
"SICO14","Silene coeli-rosa (L.) Godr.","rose silene",,"Silene","Dicot"
"SICR","Silene cryptopetala Hillebr.","Haleakala catchfly",,"Silene","Dicot"
"SICU7","Sideroxylon cubense (Griseb.) T.D. Penn.","espejuelo",,"Sideroxylon","Dicot"
"SICYO","Sicyos L.","bur cucumber",,"Sicyos","Dicot"
"SIDE6","Siphoneugena densiflora Berg","hoja menuda",,"Siphoneugena","Dicot"
"SIDER","Sideritis L.","ironwort",,"Sideritis","Dicot"
"SIDI2","Silene dichotoma Ehrh.","forked catchfly",,"Silene","Dicot"
"SIDI4","Silene dioica (L.) Clairville","red catchfly",,"Silene","Dicot"
"SIDRD","Silene drummondii Hook. var. drummondii ","Drummond's campion",,"Silene","Dicot"
"SIFA","Sida fallax Walp.","yellow ‘ilima",,"Sida","Dicot"
"SIFL6","Silene flos-jovis (L.) Greuter & Burdet",,,"Silene","Dicot"
"SIFO","Sideroxylon foetidissimum Jacq.","false mastic",,"Sideroxylon","Dicot"
"SIHE4","Sidalcea hendersonii S. Watson","Henderson's checkerbloom",,"Sidalcea","Dicot"
"SIHI4","Sisyrinchium hitchcockii Douglass M. Hend.","Hitchcock's blue-eyed grass",,"Sisyrinchium","Monocot"
"SIITN","Silene italica (L.) Pers. ssp. nemoralis (Waldst. & Kit.) Nyman","Italian catchfly",,"Silene","Dicot"
"SIKI","Silene kingii (S. Watson) Bocquet","King's campion",,"Silene","Dicot"
"SILA24","Sicyos lanceoloideus (H. St. John) W.L. Wagner & D.R. Herbst","Kauai bur cucumber",,"Sicyos","Dicot"
"SILAM","Silene laciniata Cav. ssp. major C.L. Hitchc. & Maguire","cardinal catchfly",,"Silene","Dicot"
"SILAO","Sideroxylon lanuginosum Michx. ssp. oblongifolium (Nutt.) T.D. Penn.","gum bully",,"Sideroxylon","Dicot"
"SILI4","Sisyrinchium littorale Greene","Alaska blue-eyed grass",,"Sisyrinchium","Monocot"
"SILY","Sideroxylon lycioides L.","buckthorn bully",,"Sideroxylon","Dicot"
"SIMEW","Silene menziesii Hook. ssp. williamsii (Britton) Hultén","Menzies' campion",,"Silene","Dicot"
"SIMU","Sidalcea multifida Greene","cutleaf checkerbloom",,"Sidalcea","Dicot"
"SIOC","Silene occidentalis S. Watson","western catchfly",,"Silene","Dicot"
"SIPA11","Sisyrinchium pallidum Cholewa & Douglass M. Hend.","pale blue-eyed grass",,"Sisyrinchium","Monocot"
"SIPA4","Silene parryi (S. Watson) C.L. Hitchc. & Maguire","Parry's silene",,"Silene","Dicot"
"SIPHU2","Siphula Fr.","whitefingers lichen",,"Siphula","Lichen"
"SIRO5","Sisyrinchium rosulatum E.P. Bicknell","annual blue-eyed grass",,"Sisyrinchium","Monocot"
"SISA5","Sida salviifolia C. Presl","escoba parada",,"Sida","Dicot"
"SIST","Silene stellata (L.) W.T. Aiton","widowsfrill",,"Silene","Dicot"
"SITA2","Silene tayloriae (B.L. Rob.) Hultén","Peel River catchfly",,"Silene","Dicot"
"SITRL","Silphium trifoliatum L. var. latifolium A. Gray","whorled rosinweed",,"Silphium","Dicot"
"SITU","Simarouba tulae Urb.","aceitillo falso",,"Simarouba","Dicot"
"SIUM","Sium L.","waterparsnip",,"Sium","Dicot"
"SIURA","Silene uralensis (Rupr.) Bocquet ssp. attenuata (Farr) McNeill","apetalous catchfly",,"Silene","Dicot"
"SIURM","Silene uralensis (Rupr.) Bocquet ssp. montana (S. Watson) McNeill","apetalous catchfly",,"Silene","Dicot"
"SIVE","Silene verecunda S. Watson","San Francisco campion",,"Silene","Dicot"
"SMLA","Smilax laurifolia L.","laurel greenbrier",,"Smilax","Monocot"
"SOAD","Solanum adscendens Sendtn.","sonoita nightshade",,"Solanum","Dicot"
"SOAM3","Sorbus americana Marshall","American mountain ash",,"Sorbus","Dicot"
"SOAR3","Sophora arizonica S. Watson","Arizona necklacepod",,"Sophora","Dicot"
"SOARB","Solidago arguta Aiton var. boottii (Hook.) Palmer & Steyerm.","Boott's goldenrod",,"Solidago","Dicot"
"SOARU","Sonchus arvensis L. ssp. uliginosus (M. Bieb.) Nyman","moist sowthistle",,"Sonchus","Dicot"
"SOAS","Sonchus asper (L.) Hill","spiny sowthistle",,"Sonchus","Dicot"
"SOBIB","Sorghum bicolor (L.) Moench ssp. bicolor ","grain sorghum",,"Sorghum","Monocot"
"SOCA10","Solanum capsicoides All.","cockroach berry",,"Solanum","Dicot"
"SOCA4","Solidago caesia L.","wreath goldenrod",,"Solidago","Dicot"
"SOCO7","Sorbus commixta Hedl.",,,"Sorbus","Dicot"
"SOCR2","Solenospora crenata (Herre) Zahlbr.","solenospora lichen",,"Solenospora","Lichen"
"SOCU","Solidago curtisii Torr. & A. Gray","mountain decumbent goldenrod",,"Solidago","Dicot"
"SODUV","Solanum dulcamara L. var. villosissimum Desv.","climbing nightshade",,"Solanum","Dicot"
"SOGR4","Solidago gracillima Torr. & A. Gray","Virginia goldenrod",,"Solidago","Dicot"
"SOIN","Solanum incompletum Dunal","thorny popolo",,"Solanum","Dicot"
"SOLYL","Solanum lycopersicum L. var. lycopersicum ","garden tomato",,"Solanum","Dicot"
"SOMA3","Solanum mauritianum Scop.","earleaf nightshade",,"Solanum","Dicot"
"SOME6","Solanum melanocerasum All.","garden huckleberry",,"Solanum","Dicot"
"SOMIF","Solidago missouriensis Nutt. var. fasciculata Holz.","Missouri goldenrod",,"Solidago","Dicot"
"SOMUA","Solidago multiradiata Aiton var. arctica (DC.) Fernald","arctic goldenrod",,"Solidago","Dicot"
"SOPEP","Solidago petiolaris Aiton var. petiolaris ","downy ragged goldenrod",,"Solidago","Dicot"
"SOPS2","Solanum pseudogracile Heiser","glowing nightshade",,"Solanum","Dicot"
"SORU2","Solidago rugosa Mill.","wrinkleleaf goldenrod",,"Solidago","Dicot"
"SORUS","Solidago rugosa Mill. ssp. rugosa var. sphagnophila Graves","wrinkleleaf goldenrod",,"Solidago","Dicot"
"SOSI3","Solidago simplex Kunth","Mt. Albert goldenrod",,"Solidago","Dicot"
"SOSIM","Solidago simplex Kunth ssp. randii (Porter) Ringius var. monticola ","Rand's goldenrod",,"Solidago","Dicot"
"SOSIR2","Solidago simplex Kunth ssp. randii (Porter) Ringius var. racemosa (Greene) Ringius","Rand's goldenrod",,"Solidago","Dicot"
"SOSIR3","Solidago simplex Kunth ssp. randii (Porter) Ringius var. randii (Porter) Kartesz & Gandhi","Rand's goldenrod",,"Solidago","Dicot"
"SOSIS4","Solidago simplex Kunth ssp. simplex var. spathulata (DC.) Cronquist","Mt. Albert goldenrod",,"Solidago","Dicot"
"SOSP3","Solidago spectabilis (D.C. Eaton) A. Gray","Nevada goldenrod",,"Solidago","Dicot"
"SOSP4","Solidago sphacelata Raf.","autumn goldenrod",,"Solidago","Dicot"
"SOSPP","Solidago speciosa Nutt. var. pallida Porter","showy goldenrod",,"Solidago","Dicot"
"SOSPR","Solidago speciosa Nutt. var. rigidiuscula Torr. & A. Gray","showy goldenrod",,"Solidago","Dicot"
"SOTE","Solanum tenuilobatum Parish","San Diego nightshade",,"Solanum","Dicot"
"SOTO3","Sophora tomentosa L.","yellow necklacepod",,"Sophora","Dicot"
"SOULM","Solidago ulmifolia Muhl. ex Willd. var. microphylla A. Gray","elmleaf goldenrod",,"Solidago","Dicot"
"SOUMI","Solanum umbelliferum Eschsch. var. incanum Torr.","bluewitch",,"Solanum","Dicot"
"SOVE2","Solidago verna M.A. Curtis ex Torr. & A. Gray","springflowering goldenrod",,"Solidago","Dicot"
"SPAL6","Spigelia alabamensis (K. Gould) K.G. Mathews & Weakley","purpleflower pinkroot",,"Spigelia","Dicot"
"SPAN2","Sparganium angustifolium Michx.","narrowleaf bur-reed",,"Sparganium","Monocot"
"SPAN3","Sphaeralcea angustifolia (Cav.) G. Don","copper globemallow",,"Sphaeralcea","Dicot"
"SPAN8","Sphinctrina anglica Nyl.","sphinctrina lichen",,"Sphinctrina","Lichen"
"SPBR","Spiranthes brevilabris Lindl.","Texas lady's tresses",,"Spiranthes","Monocot"
"SPCA4","Sphaeralcea caespitosa M.E. Jones","tufted globemallow",,"Sphaeralcea","Dicot"
"SPCA8","Sphaeromeria capitata Nutt.","rock tansy",,"Sphaeromeria","Dicot"
"SPCOD3","Sporobolus compositus (Poir.) Merr. var. drummondii (Trin.) Kartesz & Gandhi","Drummond's dropseed",,"Sporobolus","Monocot"
"SPDOM","Spiraea douglasii Hook. var. menziesii (Hook.) C. Presl","Menzies' spirea",,"Spiraea","Dicot"
"SPDR2","Sphaerocarpos drewei Wigglesworth",,,"Sphaerocarpos","Liverwort"
"SPEM","Sphaeralcea emoryi Torr. ex A. Gray","Emory's globemallow",,"Sphaeralcea","Dicot"
"SPEM2","Sparganium emersum Rehmann","European bur-reed",,"Sparganium","Monocot"
"SPEU2","Speerschneidera euploca (Tuck.) Trevis.","speerschneidera lichen",,"Speerschneidera","Lichen"
"SPFET","Sphaeralcea fendleri A. Gray ssp. tripartita (Wooton & Standl.) Kearney","thicket globemallow",,"Sphaeralcea","Dicot"
"SPFIC","Sphagnum fimbriatum Wilson var. concinnum (Berggr.) Warnst.","sphagnum",,"Sphagnum","Moss"
"SPFL","Sparganium fluctuans (Engelm. ex Morong) B.L. Rob.","floating bur-reed",,"Sparganium","Monocot"
"SPIN","Spermolepis inermis (Nutt. ex DC.) Mathias & Constance","Red River scaleseed",,"Spermolepis","Dicot"
"SPIO2","Sporobolus ioclados (Trin.) Nees","pan dropseed",,"Sporobolus","Monocot"
"SPJA","Spiraea japonica L. f.","Japanese meadowsweet",,"Spiraea","Dicot"
"SPLAG","Spiranthes lacera (Raf.) Raf. var. gracilis (Bigelow) Luer","northern slender lady's tresses",,"Spiranthes","Monocot"
"SPLE5","Sphagnum lenense H. Lindb.","sphagnum",,"Sphagnum","Moss"
"SPLE6","Sphagnum lescurii Sull.","Lescur's sphagnum",,"Sphagnum","Moss"
"SPLO","Sphenopholis longiflora (Vasey) Hitchc.","Texas wedgescale",,"Sphenopholis","Monocot"
"SPLU2","Spiranthes lucida (H.H. Eaton) Ames","shining lady's tresses",,"Spiranthes","Monocot"
"SPMAN2","Sphagnum majus (Russow) C.E.O. Jensen ssp. norvegicum Flatberg","sphagnum",,"Sphagnum","Moss"
"SPNIR","Spiraea nipponica Maxim. f. rotundifolia (G. Nicholson) Makino",,,"Spiraea","Dicot"
"SPOR","Sphaeralcea orcuttii Rose","Carrizo Creek globemallow",,"Sphaeralcea","Dicot"
"SPPE10","Spathoglottis petri Rchb. f.","Peter's ground orchid",,"Spathoglottis","Monocot"
"SPPI3","Sporobolus pinetorum A. Weakley & P.M. Peterson","Carolina dropseed",,"Sporobolus","Monocot"
"SPPL","Spathoglottis plicata Blume","Philippine ground orchid",,"Spathoglottis","Monocot"
"SPRE2","Spilonema revertens Nyl.","spilonema lichen",,"Spilonema","Lichen"
"SPRU5","Sphagnum rubroflexuosum R.E. Andrus","sphagnum",,"Sphagnum","Moss"
"SPSP70","Splachnum sphaericum Hedw.","pinkstink dung moss",,"Splachnum","Moss"
"SPST3","Spiraea stevenii (C.K. Schneid.) Rydb.","beauverd spirea",,"Spiraea","Dicot"
"SPST9","Sphagnum strictum Sull.","sphagnum",,"Sphagnum","Moss"
"SPSU6","Sphagnum subobesum Warnst.","sphagnum",,"Sphagnum","Moss"
"SPSUS","Sphagnum subsecundum Nees var. subsecundum ","sphagnum",,"Sphagnum","Moss"
"SPTE","Spermacoce tenuior L.","slender false buttonweed",,"Spermacoce","Dicot"
"SPTE13","Sphaerocarpos texanus Austin",,,"Sphaerocarpos","Liverwort"
"SPTR6","Sphagneticola trilobata (L.) Pruski","Bay Biscayne creeping-oxeye",,"Sphagneticola","Dicot"
"SPVE","Spiranthes vernalis Engelm. & A. Gray","spring lady's tresses",,"Spiranthes","Monocot"
"SPVE2","Spermacoce verticillata L.","shrubby false buttonweed",,"Spermacoce","Dicot"
"STACH","Stachys L.","hedgenettle",,"Stachys","Dicot"
"STAL6","Stratiotes aloides L. [excluded]","water soldiers",,"Stratiotes","Monocot"
"STAM9","Strigula americana R.C. Harris","American strigula lichen",,"Strigula","Lichen"
"STAMA2","Streptopus amplexifolius (L.) DC. var. amplexifolius ","claspleaf twistedstalk",,"Streptopus","Monocot"
"STAMP","Streptopus amplexifolius (L.) DC. var. papillatus Ohwi","claspleaf twistedstalk",,"Streptopus","Monocot"
"STAN12","Strobilanthes anisophylla (G. Lodd.) T. Anderson",,,"Strobilanthes","Dicot"
"STAP4","Stereocaulon apocalypticum Nyl.","snow lichen",,"Stereocaulon","Lichen"
"STAR17","Stipa arabica Trin. & Rupr.",,,"Stipa","Monocot"
"STAR61","Sticta arctica Degel.","arctic spotted felt lichen",,"Sticta","Lichen"
"STARG","Stenotus armerioides Nutt. var. gramineus (S.L. Welsh & F.J. Sm.) Kartesz & Gandhi","grass-like mock goldenweed",,"Stenotus","Dicot"
"STAS2","Striga asiatica (L.) Kuntze","Asiatic witchweed",,"Striga","Dicot"
"STAU","Stachytarpheta australis Moldenke","branched porterweed",,"Stachytarpheta","Dicot"
"STBA3","Streptanthus barbiger Greene","bearded jewelflower",,"Streptanthus","Dicot"
"STBA7","Stigmaphyllon bannisterioides (L.) C.E. Anderson","egg-leaf Amazonvine",,"Stigmaphyllon","Dicot"
"STBL2","Stephanomeria blairii Munz & I.M. Johnst.","Blair's wirelettuce",,"Stephanomeria","Dicot"
"STBOB","Stellaria borealis Bigelow ssp. borealis ","boreal starwort",,"Stellaria","Dicot"
"STBOS","Stellaria borealis Bigelow ssp. sitchana (Steud.) Piper","Sitka starwort",,"Stellaria","Dicot"
"STBR5","Sticherus brevipubis (Christ) A.R. Sm.","clothed umbrella fern",,"Sticherus","Fern"
"STCAA","Streptanthus carinatus C. Wright ex A. Gray ssp. arizonicus (S. Watson) Kruckeb., Rodman & Worthington","lyreleaf jewelflower",,"Streptanthus","Dicot"
"STCHC2","Stachys chamissonis Benth. var. chamissonis ","coastal hedgenettle",,"Stachys","Dicot"
