"usda_symbol","scientific_name","common_name","family","genus","usda_group"
"CAPY5","Camissonia pygmaea (Douglas ex Lehm.) P.H. Raven","dwarf suncup",,"Camissonia","Dicot"
"CAQUA","Camassia quamash (Pursh) Greene ssp. azurea (A. Heller) Gould","small camas",,"Camassia","Monocot"
"CARA","Campanula rapunculoides L.","rampion bellflower",,"Campanula","Dicot"
"CARA4","Carex ramenskii Kom.","Ramensk's sedge",,"Carex","Monocot"
"CARA7","Castilleja raupii Pennell","Raup's Indian paintbrush",,"Castilleja","Dicot"
"CARAL","Caralluma R. Br.","caralluma",,"Caralluma","Dicot"
"CARDA","Cardamine L.","bittercress",,"Cardamine","Dicot"
"CARDA4","Cardaminopsis Hayek","rockcress",,"Cardaminopsis","Dicot"
"CARO13","Camissonia robusta P.H. Raven","robust suncup",,"Camissonia","Dicot"
"CARO2","Campanula rotundifolia L.","bluebell bellflower",,"Campanula","Dicot"
"CARO26","Canavalia rosea (Sw.) DC.","baybean",,"Canavalia","Dicot"
"CARPH","Carphephorus Cass.","chaffhead",,"Carphephorus","Dicot"
"CARU18","Caloplaca rubrofusca (de Lesd.) ined.?","orange lichen",,"Caloplaca","Lichen"
"CARUL","Castilleja rubicundula (Jeps.) T.I. Chuang & Heckard ssp. lithospermoides (Benth.) T.I. Chuang & Heckard","cream sacs",,"Castilleja","Dicot"
"CASA21","Calicium salicinum Pers.","spike lichen",,"Calicium","Lichen"
"CASA25","Canoparmelia salacinifera (Hale) Elix & Hale","canoparmelia lichen",,"Canoparmelia","Lichen"
"CASC11","Carex scoparia Schkuhr ex Willd.","broom sedge",,"Carex","Monocot"
"CASCB3","Castilleja scabrida Eastw. var. barnebyana (Eastw.) N.H. Holmgren","Barneby's Indian paintbrush",,"Castilleja","Dicot"
"CASCS9","Carex scirpoidea Michx. ssp. stenochlaena (T. Holm) Á. Löve & D. Löve","northern singlespike sedge",,"Carex","Monocot"
"CASE12","Calylophus serrulatus (Nutt.) P.H. Raven","yellow sundrops",,"Calylophus","Dicot"
"CASE2","Carex serratodens W. Boott","twotooth sedge",,"Carex","Monocot"
"CASE3","Carlowrightia serpyllifolia A. Gray","Trans-Pecos wrightwort",,"Carlowrightia","Dicot"
"CASEB","Calystegia sepium (L.) R. Br. ssp. binghamiae (Greene) Brummitt","Bingham's false bindweed",,"Calystegia","Dicot"
"CASES","Calystegia sepium (L.) R. Br. ssp. sepium ","hedge false bindweed",,"Calystegia","Dicot"
"CASIS3","Camellia sinensis (L.) Kuntze var. sinensis ","tea",,"Camellia","Dicot"
"CASP5","Carex spectabilis Dewey","showy sedge",,"Carex","Monocot"
"CASSI2","Cassine L.","cassine",,"Cassine","Dicot"
"CAST16","Carex sterilis Willd.","dioecious sedge",,"Carex","Monocot"
"CAST17","Carex striatula Michx.","lined sedge",,"Carex","Monocot"
"CAST55","Carex ×stenolepis Less. [saxatilis × vesicaria]","sedge",,"Carex","Monocot"
"CASTB4","Calamagrostis stricta (Timm) Koeler ssp. stricta var. borealis (Laest.) Hartm.","slimstem reedgrass",,"Calamagrostis","Monocot"
"CASTI3","Calamagrostis stricta (Timm) Koeler ssp. inexpansa (A. Gray) C.W. Greene","northern reedgrass",,"Calamagrostis","Monocot"
"CASU19","Calystegia subacaulis Hook. & Arn.","hillside false bindweed",,"Calystegia","Dicot"
"CASU44","Catinaria subcorallina (Zahlbr.) Brako","catinaria lichen",,"Catinaria","Lichen"
"CASU67","Carex superata Naczi, Reznicek & B.A. Ford","Willdenow's sedge",,"Carex","Monocot"
"CASU7","Carex subnigricans Stacey","nearlyblack sedge",,"Carex","Monocot"
"CASUS7","Castilleja subinclusa Greene ssp. subinclusa ","longleaf Indian paintbrush",,"Castilleja","Dicot"
"CASYS","Calamintha sylvatica Bromf. ssp. sylvatica ","woodland calamint",,"Calamintha","Dicot"
"CATAB","Catabrosa P. Beauv.","whorlgrass",,"Catabrosa","Monocot"
"CATE25","Calymperes tenerum Müll. Hal.","calymperes moss",,"Calymperes","Moss"
"CATE3","Carex tenera Dewey","quill sedge",,"Carex","Monocot"
"CATES2","Cassiope tetragona (L.) D. Don var. saximontana (Small) C.L. Hitchc.","white arctic mountain heather",,"Cassiope","Dicot"
"CATH6","Carex thunbergii Steud.","Maui sedge",,"Carex","Monocot"
"CATI5","Carex tiogana D.W. Taylor & J.D. Mastrog.","Tioga Pass sedge",,"Carex","Monocot"
"CATO6","Carya tomentosa (Lam.) Nutt.","mockernut hickory",,"Carya","Dicot"
"CATOT","Carex tonsa (Fernald) E.P. Bicknell var. tonsa ","shaved sedge",,"Carex","Monocot"
"CATRS","Calycadenia truncata DC. ssp. scabrella (E. Drew) D.D. Keck","Oregon western rosinweed",,"Calycadenia","Dicot"
"CATU16","Castellia tuberculosa (Moris) Bor",,,"Castellia","Monocot"
"CATU17","Carex turbinata Liebm.","turban sedge",,"Carex","Monocot"
"CAUM5","Calochortus umpquaensis N.A. Fredricks","Umpqua mariposa lily",,"Calochortus","Monocot"
"CAVE22","Camellia vernalis (Makino) Makino",,,"Camellia","Dicot"
"CAVI17","Caloplaca vicaria H. Magn.","orange lichen",,"Caloplaca","Lichen"
"CAVIM2","Calamagrostis viridiflavescens (Poir.) Steud. var. montevidensis (Nees) Kaempf",,,"Calamagrostis","Monocot"
"CAVIV","Carex viridula Michx. ssp. viridula ","little green sedge",,"Carex","Monocot"
"CAVUV","Carex vulpinoidea Michx. var. vulpinoidea ","fox sedge",,"Carex","Monocot"
"CAWA3","Camissonia walkeri (A. Nelson) P.H. Raven","Walker's suncup",,"Camissonia","Dicot"
"CAWA5","Catolechia wahlenbergii (Ach.) Körb.","Wahlenberg's catolechia lichen",,"Catolechia","Lichen"
"CAWA6","Catapyrenium waltheri (Krempelh.) Körb.",,,"Catapyrenium","Lichen"
"CAWAT","Camissonia walkeri (A. Nelson) P.H. Raven ssp. tortilis (Jeps.) P.H. Raven","Walker's suncup",,"Camissonia","Dicot"
"CAWAW2","Camissonia walkeri (A. Nelson) P.H. Raven ssp. walkeri ","Walker's suncup",,"Camissonia","Dicot"
"CAWE","Calochortus weedii Alph. Wood","Weed's mariposa lily",,"Calochortus","Monocot"
"CAWEV","Calochortus weedii Alph. Wood var. vestus Purdy","Weed's mariposa lily",,"Calochortus","Monocot"
"CAWI2","Carex willdenowii Schkuhr ex Willd.","Willdenow's sedge",,"Carex","Monocot"
"CAWI3","Carex williamsii Britton","Williams' sedge",,"Carex","Monocot"
"CAZI2","Capparis zippeliana Miq.","kelelamengerenger",,"Capparis","Dicot"
"CEAGA","Cenchrus agrimonioides Trin. var. agrimonioides ","kamanomano",,"Cenchrus","Monocot"
"CEAL11","Ceroxylon alpinum Bonpl. ex DC.","wax palm",,"Ceroxylon","Monocot"
"CEALL","Cerastium alpinum L. ssp. lanatum (Lam.) Ces.","alpine chickweed",,"Cerastium","Dicot"
"CEAR5","Centrosema arenicola (Small) F.J. Herm.","pineland butterfly pea",,"Centrosema","Dicot"
"CEARS2","Cerastium arvense L. ssp. strictum (L.) Ugborogho","field chickweed",,"Cerastium","Dicot"
"CEARV4","Cerastium arvense L. ssp. velutinum (Raf.) Ugborogho var. villosum (Muhl. ex Darl.) Hollick & Britton","field chickweed",,"Cerastium","Dicot"
"CEBEB4","Cerastium beeringianum Cham. & Schltdl. ssp. beeringianum var. beeringianum ","Bering chickweed",,"Cerastium","Dicot"
"CEBEE","Cerastium beeringianum Cham. & Schltdl. ssp. earlei (Rydb.) Hultén","Bering chickweed",,"Cerastium","Dicot"
"CECA4","Cercis canadensis L.","eastern redbud",,"Cercis","Dicot"
"CECAC","Cercis canadensis L. var. canadensis ","eastern redbud",,"Cercis","Dicot"
"CECE","Cerastium cerastoides (L.) Britton","mountain chickweed",,"Cerastium","Dicot"
"CECI2","Centaurea cineraria L.","dusty miller",,"Centaurea","Dicot"
"CECO","Ceanothus cordulatus Kellogg","whitethorn ceanothus",,"Ceanothus","Dicot"
"CECUF2","Ceanothus cuneatus (Hook.) Nutt. var. fascicularis (McMinn) Hoover","sedgeleaf buckbrush",,"Ceanothus","Dicot"
"CEDE5","Centaurea debeauxii Gren. & Godr. [excluded]","meadow knapweed",,"Centaurea","Dicot"
"CEDI6","Cestrum diurnum L.","day jessamine",,"Cestrum","Dicot"
"CEEC2","Ceratophyllum echinatum A. Gray","spineless hornwort",,"Ceratophyllum","Dicot"
"CEFA3","Cestrum fasciculatum (Schltdl.) Miers","early jessamine",,"Cestrum","Dicot"
"CEFOF","Cerastium fontanum Baumg. ssp. fontanum ","common mouse-ear chickweed",,"Cerastium","Dicot"
"CEGA","Ceratopteris gaudichaudii Brongn.",,,"Ceratopteris","Fern"
"CEGI2","Cephalaria gigantea (Ledeb.) Bobr.","Tatarian cephalaria",,"Cephalaria","Dicot"
"CEGI3","Celtica gigantea (Link) F.M. Vazquez & Barkworth",,,"Celtica","Monocot"
"CEGL2","Cerastium glomeratum Thuill.","sticky chickweed",,"Cerastium","Dicot"
"CEGO","Cerastium gorodkovianum Schischkin","tundra chickweed",,"Cerastium","Dicot"
"CEIN7","Cercocarpus intricatus S. Watson","littleleaf mountain mahogany",,"Cercocarpus","Dicot"
"CEIP","Cephaelis ipecacuanha (Brot.) Tussac","ipecac",,"Cephaelis","Dicot"
"CELAS3","Celtis laevigata Willd. var. smallii (Beadle) Sarg.","Small's hackberry",,"Celtis","Dicot"
"CELEI","Cercocarpus ledifolius Nutt. var. intercedens C.K. Schneid.","curl-leaf mountain mahogany",,"Cercocarpus","Dicot"
"CELO2","Ceanothus ×lorenzenii (Jeps.) McMinn [cordulatus × velutinus]","ceanothus",,"Ceanothus","Dicot"
"CELO3","Cenchrus longispinus (Hack.) Fernald","mat sandbur",,"Cenchrus","Monocot"
"CEME3","Ceanothus ×mendocinensis McMinn [thyrsiflorus × velutinus]","Mendocino ceanothus",,"Ceanothus","Dicot"
