scientific_name,source
Amolita fessa,GBIF
Amolita fratercula,GBIF
Amolita obliqua,GBIF
Amolita roseola,GBIF
Amolita sentalis,GBIF
Amorbia concavana,GBIF
Amorbia cuneanum,GBIF
Amorbia emigratella,GBIF
Amorbia vero,GBIF
Amorophaga cryptophori,GBIF
Amphipoea erepta,GBIF
Amphipoea keiferi,GBIF
Amphipoea pacifica,GBIF
Amphipoea senilis,GBIF
Amphipyra brunneoatra,GBIF
Amphispiza bilineata,eBird
Amphispizopsis quinquestriata,eBird
Amydria arizonella,GBIF
Amydria brevipennella,GBIF
Amydria californica,GBIF
Amydria curvistrigella,GBIF
Amydria effrentella,GBIF
Amydria obliquella,GBIF
Amydria tenuivalva,GBIF
Amyelois transitella,GBIF
Amyna axis,GBIF
Amyna bullula,GBIF
Amyna crocosticta,GBIF
Amyna natalis,GBIF
Amyna stricta,GBIF
Anabasis ochrodesma,GBIF
Anacampsis agrimoniella,GBIF
Anacampsis comparanda,GBIF
Anacampsis conclusella,GBIF
Anacampsis consonella,GBIF
Anacampsis coverdalella,GBIF
Anacampsis fragariella,GBIF
Anacampsis fullonella,GBIF
Anacampsis kearfottella,GBIF
Anacampsis lacteusochrella,GBIF
Anacampsis lagunculariella,GBIF
Anacampsis levipedella,GBIF
Anacampsis paltodoriella,GBIF
Anacampsis quinquepunctella,GBIF
Anacampsis wikeri,GBIF
Anacochylidia maderana,GBIF
Anacostia tribulella,GBIF
Anadelosemia condigna,GBIF
Anadelosemia texanella,GBIF
Anaea aidea,GBIF
Anaea andria,GBIF
Anaea glycerium,GBIF
Anaea pithyusa,GBIF
Anaea troglodyta,GBIF
Anageshna primordialis,GBIF
Anania coronata,GBIF
Anania extricalis,GBIF
Anania helvalis,GBIF
Anania hortulata,GBIF
Anania labeculalis,GBIF
Anania leuschneri,GBIF
Anania mysippusalis,GBIF
Anania quebecensis,GBIF
Anania tennesseensis,GBIF
Anania terrealis,GBIF
Anania tertialis,GBIF
Anaplectoides brunneomedia,GBIF
Anarhynchus alexandrinus,eBird
Anarhynchus collaris,eBird
Anarhynchus leschenaultii,eBird
Anarhynchus mongolus,eBird
Anarhynchus montanus,eBird
Anarhynchus nivosus,eBird
Anarhynchus wilsonia,eBird
Anarsioses aberrans,GBIF
Anarta alta,GBIF
Anarta antica,GBIF
Anarta chartaria,GBIF
Anarta columbica,GBIF
Anarta crotchii,GBIF
Anarta decepta,GBIF
Anarta edwardsii,GBIF
Anarta farnhami,GBIF
Anarta florida,GBIF
Anarta fulgora,GBIF
Anarta fusculenta,GBIF
Anarta hamata,GBIF
Anarta inconcinna,GBIF
Anarta mutata,GBIF
Anarta nigrolunata,GBIF
Anarta oaklandiae,GBIF
Anarta obesula,GBIF
Anarta oregonica,GBIF
Anarta projecta,GBIF
Anarta sierrae,GBIF
Anarta trifolii,GBIF
Anartia fatima,GBIF
Anartia jatrophae,GBIF
Anas acuta,eBird
Anas bahamensis,eBird
Anas castanea,eBird
Anas crecca,eBird
Anas diazi,eBird
Anas flavirostris,eBird
Anas fulvigula,eBird
Anas georgica,eBird
Anas laysanensis,eBird
Anas platyrhynchos,eBird
Anas rubripes,eBird
Anas wyvilliana,eBird
Anas zonorhyncha,eBird
Anastrus sempiternus,GBIF
Anatrachyntis badia,GBIF
Anatrachyntis rileyi,GBIF
Anatrachyntis simplex,GBIF
Anatralata versicolor,GBIF
Anavitrinella addendaria,GBIF
Anavitrinella atristrigaria,GBIF
Anavitrinella ocularia,GBIF
Anavitrinella pampinaria,GBIF
Anchoscelis lunosa,GBIF
Ancylandrena atoposoma,GBIF
Ancylandrena koebelei,GBIF
Ancylandrena larreae,GBIF
Ancylandrena rozeni,GBIF
Ancylandrena timberlakei,GBIF
Ancylis brauni,GBIF
Ancylis columbiana,GBIF
Ancylis cordiae,GBIF
Ancylis definitivana,GBIF
Ancylis diminuatana,GBIF
Ancylis goodelliana,GBIF
Ancylis maritima,GBIF
Ancylis metamelana,GBIF
Ancylis mira,GBIF
Ancylis pacificana,GBIF
Ancylis rhoderana,GBIF
Ancylis saliana,GBIF
Ancylis sheppardana,GBIF
Ancylis simuloides,GBIF
Ancylis spiraeifoliana,GBIF
Ancylis tenebrica,GBIF
Ancylis uncella,GBIF
Ancylis unguicella,GBIF
Ancylis virididorsana,GBIF
Ancyloscelis apiformis,GBIF
Ancyloscelis melanostoma,GBIF
Ancyloscelis sejunctus,GBIF
Ancylosis bonhoti,GBIF
Ancylosis morrisonella,GBIF
Ancylosis undulatella,GBIF
Ancylostomia stercorea,GBIF
Ancyloxypha arene,GBIF
Anderida peorinella,GBIF
Anderida senorella,GBIF
Andrena,GBIF
Andrena ablegata,GBIF
Andrena algida,GBIF
Andrena aliciarum,GBIF
Andrena alleghaniensis,GBIF
Andrena amphibola,GBIF
Andrena anatolis,GBIF
Andrena angustella,GBIF
Andrena angustitarsata,GBIF
