scientific_name,state_code,source,observation_count
Thryothorus ludovicianus,AL,eBird,NA
Thryomanes bewickii,AL,eBird,NA
Sturnus vulgaris,AL,eBird,NA
Dumetella carolinensis,AL,eBird,NA
Toxostoma rufum,AL,eBird,NA
Oreoscoptes montanus,AL,eBird,NA
Mimus polyglottos,AL,eBird,NA
Sialia sialis,AL,eBird,NA
Ixoreus naevius,AL,eBird,NA
Catharus fuscescens,AL,eBird,NA
Catharus minimus,AL,eBird,NA
Catharus ustulatus,AL,eBird,NA
Catharus guttatus,AL,eBird,NA
Hylocichla mustelina,AL,eBird,NA
Turdus migratorius,AL,eBird,NA
Oenanthe oenanthe,AL,eBird,NA
Bombycilla cedrorum,AL,eBird,NA
Euplectes franciscanus,AL,eBird,NA
Lonchura punctulata,AL,eBird,NA
Lonchura malacca,AL,eBird,NA
Vidua macroura,AL,eBird,NA
Passer domesticus,AL,eBird,NA
Motacilla alba,AL,eBird,NA
Anthus rubescens,AL,eBird,NA
Anthus spragueii,AL,eBird,NA
Hesperiphona vespertina,AL,eBird,NA
Haemorhous mexicanus,AL,eBird,NA
Haemorhous purpureus,AL,eBird,NA
Acanthis flammea,AL,eBird,NA
Loxia curvirostra,AL,eBird,NA
Loxia leucoptera,AL,eBird,NA
Spinus pinus,AL,eBird,NA
Spinus psaltria,AL,eBird,NA
Spinus tristis,AL,eBird,NA
Calcarius lapponicus,AL,eBird,NA
Calcarius ornatus,AL,eBird,NA
Calcarius pictus,AL,eBird,NA
Rhynchophanes mccownii,AL,eBird,NA
Plectrophenax nivalis,AL,eBird,NA
Peucaea aestivalis,AL,eBird,NA
Ammodramus savannarum,AL,eBird,NA
Spizella passerina,AL,eBird,NA
Spizella pallida,AL,eBird,NA
Spizella pusilla,AL,eBird,NA
Chondestes grammacus,AL,eBird,NA
Calamospiza melanocorys,AL,eBird,NA
Spizelloides arborea,AL,eBird,NA
Passerella iliaca,AL,eBird,NA
Junco hyemalis,AL,eBird,NA
Zonotrichia leucophrys,AL,eBird,NA
Zonotrichia querula,AL,eBird,NA
Zonotrichia albicollis,AL,eBird,NA
Pooecetes gramineus,AL,eBird,NA
Ammospiza leconteii,AL,eBird,NA
Ammospiza maritima,AL,eBird,NA
Ammospiza nelsoni,AL,eBird,NA
Passerculus sandwichensis,AL,eBird,NA
Centronyx henslowii,AL,eBird,NA
Melospiza melodia,AL,eBird,NA
Melospiza lincolnii,AL,eBird,NA
Melospiza georgiana,AL,eBird,NA
Pipilo chlorurus,AL,eBird,NA
Pipilo maculatus,AL,eBird,NA
Pipilo erythrophthalmus,AL,eBird,NA
Icteria virens,AL,eBird,NA
Xanthocephalus xanthocephalus,AL,eBird,NA
Dolichonyx oryzivorus,AL,eBird,NA
Sturnella neglecta,AL,eBird,NA
Sturnella magna,AL,eBird,NA
Icterus spurius,AL,eBird,NA
Icterus cucullatus,AL,eBird,NA
Icterus bullockii,AL,eBird,NA
Icterus galbula,AL,eBird,NA
Icterus parisorum,AL,eBird,NA
Agelaius phoeniceus,AL,eBird,NA
Molothrus bonariensis,AL,eBird,NA
Molothrus aeneus,AL,eBird,NA
Molothrus ater,AL,eBird,NA
Euphagus carolinus,AL,eBird,NA
Euphagus cyanocephalus,AL,eBird,NA
Quiscalus quiscula,AL,eBird,NA
Quiscalus major,AL,eBird,NA
Quiscalus mexicanus,AL,eBird,NA
Seiurus aurocapilla,AL,eBird,NA
Helmitheros vermivorum,AL,eBird,NA
Parkesia motacilla,AL,eBird,NA
Parkesia noveboracensis,AL,eBird,NA
Vermivora bachmanii,AL,eBird,NA
Vermivora chrysoptera,AL,eBird,NA
Vermivora cyanoptera,AL,eBird,NA
Mniotilta varia,AL,eBird,NA
Protonotaria citrea,AL,eBird,NA
