"scientific_name","common_name","state_code","designation","source","source_url"
"Alliaria petiolata  (Bieb.) Cavara & Grande","garlic mustard","TN","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3005"
"Ardisia crenata  Sims","coral ardisia","AL","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3008"
"Ardisia crenata  Sims","coral ardisia","FL","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3008"
"Ardisia crenata  Sims","coral ardisia","GA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3008"
"Ardisia crenata  Sims","coral ardisia","SC","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3008"
"Arundo donax","giant reed","AL","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3009"
"Arundo donax","giant reed","CA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3009"
"Arundo donax","giant reed","GA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3009"
"Arundo donax","giant reed","KY","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3009"
"Arundo donax","giant reed","MD","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3009"
"Arundo donax","giant reed","VA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3009"
"Arundo donax","giant reed","SC","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3009"
"Arundo donax","giant reed","TN","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3009"
"Arundo donax","giant reed","WV","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3009"
"Berberis thunbergii  DC.","Japanese barberry","AL","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
"Berberis thunbergii  DC.","Japanese barberry","MI","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
"Berberis thunbergii  DC.","Japanese barberry","PA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
"Berberis thunbergii  DC.","Japanese barberry","CT","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
"Berberis thunbergii  DC.","Japanese barberry","DE","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
"Berberis thunbergii  DC.","Japanese barberry","GA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
"Berberis thunbergii  DC.","Japanese barberry","WI","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
"Berberis thunbergii  DC.","Japanese barberry","KY","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
"Berberis thunbergii  DC.","Japanese barberry","MD","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
"Berberis thunbergii  DC.","Japanese barberry","NH","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
"Berberis thunbergii  DC.","Japanese barberry","VA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
"Berberis thunbergii  DC.","Japanese barberry","OH","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
"Berberis thunbergii  DC.","Japanese barberry","NJ","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
