scientific_name,state_code,native_status
Vernonia ×dissimilis,AL,Native
Vernonia flaccidifolia,AL,Native
Vernonia gigantea,AL,Native
Vernonia glauca,AL,Native
Vernonia missurica,AL,Native
Vernonia noveboracensis,AL,Native
Vernonia texana,AL,Native
Wedelia fruticosa,AL,Native
Xanthium strumarium,AL,Native
Athyrium asplenioides,AL,Native
Deparia acrostichoides,AL,Native
Impatiens capensis,AL,Native
Impatiens pallida,AL,Native
Batis maritima,AL,Native
Berberis canadensis,AL,Native
Caulophyllum thalictroides,AL,Native
Jeffersonia diphylla,AL,Native
Podophyllum peltatum,AL,Native
Alnus serrulata,AL,Native
Betula lenta,AL,Native
Betula nigra,AL,Native
Carpinus caroliniana,AL,Native
Corylus americana,AL,Native
Corylus cornuta,AL,Native
Ostrya virginiana,AL,Native
Bignonia capreolata,AL,Native
Campsis radicans,AL,Native
Catalpa bignonioides,AL,Native
Catalpa speciosa,AL,Native
Blechnum serrulatum,AL,Native
Woodwardia areolata,AL,Native
Woodwardia virginica,AL,Native
Cynoglossum virginianum,AL,Native
Hackelia virginiana,AL,Native
Heliotropium curassavicum,AL,Native
Heliotropium indicum,AL,Native
Heliotropium tenellum,AL,Native
Hydrophyllum appendiculatum,AL,Native
Hydrophyllum canadense,AL,Native
Hydrophyllum macrophyllum,AL,Native
Hydrophyllum virginianum,AL,Native
Lithospermum canescens,AL,Native
Lithospermum caroliniense,AL,Native
Lithospermum decipiens,AL,Native
Lithospermum latifolium,AL,Native
Lithospermum molle,AL,Native
Lithospermum occidentale,AL,Native
Lithospermum parviflorum,AL,Native
Lithospermum subsetosum,AL,Native
Lithospermum tuberosum,AL,Native
Lithospermum virginianum,AL,Native
Mertensia virginica,AL,Native
Myosotis macrosperma,AL,Native
Myosotis verna,AL,Native
Nama jamaicense,AL,Native
Nemophila aphylla,AL,Native
Phacelia bipinnatifida,AL,Native
Phacelia dubia,AL,Native
Phacelia maculata,AL,Native
Phacelia purshii,AL,Native
Phacelia strictiflora,AL,Native
Arabis georgiana,AL,Native
Arabis patens,AL,Native
Arabis pycnocarpa,AL,Native
Borodinia canadensis,AL,Native
Borodinia laevigata,AL,Native
Cakile constricta,AL,Native
Cakile edentula,AL,Native
Cakile geniculata,AL,Native
Cakile lanceolata,AL,Native
Cardamine angustata,AL,Native
Cardamine bulbosa,AL,Native
Cardamine concatenata,AL,Native
Cardamine diphylla,AL,Native
Cardamine dissecta,AL,Native
Cardamine douglassii,AL,Native
Cardamine parviflora,AL,Native
Cardamine pensylvanica,AL,Native
Descurainia pinnata,AL,Native
Draba brachycarpa,AL,Native
Draba cuneifolia,AL,Native
Draba reptans,AL,Native
Iodanthus pinnatifidus,AL,Native
Leavenworthia alabamica,AL,Native
Leavenworthia crassa,AL,Native
Leavenworthia exigua,AL,Native
Leavenworthia torulosa,AL,Native
Leavenworthia uniflora,AL,Native
Lepidium densiflorum,AL,Native
Lepidium oblongum,AL,Native
Lepidium virginicum,AL,Native
Paysonia densipila,AL,Native
Paysonia lyrata,AL,Native
Physaria gracilis,AL,Native
Planodes virginicum,AL,Native
Rorippa aquatica,AL,Native
Rorippa palustris,AL,Native
Rorippa sessiliflora,AL,Native
Rorippa teres,AL,Native
Warea sessilifolia,AL,Native
Tillandsia recurvata,AL,Native
Tillandsia usneoides,AL,Native
Apteria aphylla,AL,Native
Burmannia biflora,AL,Native
Burmannia capitata,AL,Native
Pachysandra procumbens,AL,Native
Brasenia schreberi,AL,Native
Cabomba caroliniana,AL,Native
Opuntia humifusa,AL,Native
Opuntia lindheimeri,AL,Native
Opuntia pusilla,AL,Native
Opuntia stricta,AL,Native
Calycanthus floridus,AL,Native
Campanula divaricata,AL,Native
Campanula floridana,AL,Native
Campanulastrum americanum,AL,Native
Lobelia amoena,AL,Native
Lobelia appendiculata,AL,Native
Lobelia boykinii,AL,Native
Lobelia brevifolia,AL,Native
Lobelia cardinalis,AL,Native
Lobelia flaccidifolia,AL,Native
Lobelia floridana,AL,Native
Lobelia glandulosa,AL,Native
Lobelia inflata,AL,Native
Lobelia nuttallii,AL,Native
Lobelia paludosa,AL,Native
Lobelia puberula,AL,Native
Lobelia ×rogersii,AL,Native
Lobelia siphilitica,AL,Native
Lobelia spicata,AL,Native
Triodanis perfoliata,AL,Native
Celtis iguanaea,AL,Native
Celtis laevigata,AL,Native
Celtis occidentalis,AL,Native
Celtis tenuifolia,AL,Native
Canna flaccida,AL,Native
Canna glauca,AL,Native
Lonicera dioica,AL,Native
Lonicera flava,AL,Native
Lonicera sempervirens,AL,Native
Symphoricarpos orbiculatus,AL,Native
Triosteum angustifolium,AL,Native
Triosteum perfoliatum,AL,Native
Arenaria lanuginosa,AL,Native
Cerastium brachypodum,AL,Native
Cerastium nutans,AL,Native
Minuartia glabra,AL,Native
Minuartia godfreyi,AL,Native
Minuartia michauxii,AL,Native
Minuartia muscorum,AL,Native
Minuartia patula,AL,Native
Minuartia uniflora,AL,Native
Paronychia americana,AL,Native
Paronychia argyrocoma,AL,Native
Paronychia baldwinii,AL,Native
Paronychia canadensis,AL,Native
Paronychia erecta,AL,Native
Paronychia fastigiata,AL,Native
Paronychia herniarioides,AL,Native
Paronychia montana,AL,Native
Paronychia patula,AL,Native
Paronychia rugelii,AL,Native
Paronychia virginica,AL,Native
Sagina decumbens,AL,Native
Silene antirrhina,AL,Native
Silene caroliniana,AL,Native
Silene ovata,AL,Native
Silene regia,AL,Native
Silene rotundifolia,AL,Native
Silene stellata,AL,Native
Silene virginica,AL,Native
Spergularia marina,AL,Native
Stellaria corei,AL,Native
Stellaria fontinalis,AL,Native
Stellaria pubera,AL,Native
Stipulicida setacea,AL,Native
Celastrus scandens,AL,Native
Euonymus americanus,AL,Native
Euonymus atropurpureus,AL,Native
Ceratophyllum demersum,AL,Native
Ceratophyllum echinatum,AL,Native
Licania michauxii,AL,Native
Crocanthemum arenicola,AL,Native
Crocanthemum canadense,AL,Native
Crocanthemum carolinianum,AL,Native
Crocanthemum corymbosum,AL,Native
Crocanthemum georgianum,AL,Native
Crocanthemum rosmarinifolium,AL,Native
Lechea minor,AL,Native
Lechea mucronata,AL,Native
Lechea pulchella,AL,Native
Lechea racemulosa,AL,Native
Lechea sessiliflora,AL,Native
Lechea tenuifolia,AL,Native
Lechea torreyi,AL,Native
Arivela viscosa,AL,Native
Polanisia dodecandra,AL,Native
Polanisia tenuifolia,AL,Native
Clethra acuminata,AL,Native
Clethra alnifolia,AL,Native
Uvularia floridana,AL,Native
