"Symbol","Scientific Name","Duration","Growth Habit","Native Status","Invasive"
"ACAL16","Acacia alata R. Br.","","","",""
"FAAL","Acacia albida Delile","","","",""
"VARI","Acacia amentacea DC.","","","",""
"ACAM9","Acacia ampliceps Maslin","","","",""
"VAAN6","Acacia anegadensis Britton [excluded]","","","",""
"ACAN10","Acacia aneura F. Muell. ex Benth.","","","",""
"ACAN11","Acacia angustissima","","","",""
"ACANC3","Acacia angustissima","","","",""
"ACANH2","Acacia angustissima","","","",""
"ACANH2","Acacia angustissima","","","",""
"ACLE10","Acacia angustissima","","","",""
"ACSH2","Acacia angustissima","","","",""
"ACSU12","Acacia angustissima","","","",""
"ACANH2","Acacia angustissima","","","",""
"VANI4","Acacia arabica","","","",""
"VAAR6","Acacia arenaria Schinz","","","",""
"MIAR4","Acacia arenosa Willd.","","","",""
"ACPA8","Acacia armata R. Br.","","","",""
"ACAU","Acacia auriculiformis A. Cunn. ex Benth.","","","",""
"ACBA","Acacia baileyana F. Muell.","","","",""
"ACBE6","Acacia beckleri Tindale","","","",""
"SEBE2","Acacia berlandieri Benth.","","","",""
"ACBI5","Acacia binervata DC.","","","",""
"ACBO4","Acacia boomanii Maiden","","","",""
"ACBR3","Acacia brachybotrya Benth.","","","",""
"ACCI6","Acacia brachystachya auct.","","","",""
"ACBU3","Acacia buxifolia A. Cunn.","","","",""
"ACCA23","Acacia caesiella Maiden & Blakely","","","",""
"ACCA24","Acacia calamifolia Sweet ex Lindl.","","","",""
"ACCA25","Acacia cambagei R.T. Baker","","","",""
"SEPOC","Acacia campylacantha Hochst. ex A. Rich.","","","",""
"ACCA27","Acacia cardiophylla A. Cunn. ex Benth.","","","",""
"SECA28","Acacia catechu","","","",""
"VACA","Acacia caven","","","",""
"VACA","Acacia cavenia","","","",""
"ACCH8","Acacia chinchellensis Tindale, orth. var.","","","",""
"ACCH8","Acacia chinchillensis Tindale","","","",""
"VACH3","Acacia choriophylla Benth.","","","",""
"ACCI6","Acacia cibaria F. Muell.","","","",""
"ACST8","Acacia clivicola Pedley","","","",""
"ACCO15","Acacia cognata Domin","","","",""
"ACCO16","Acacia colletioides A. Cunn. ex Benth.","","","",""
"VACO8","Acacia collinsii Saff.","","","",""
"VACO8","Acacia collinsii Saff. var. pseudomyrmex ?, ined.","","","",""
"ACCO","Acacia confusa Merr.","","","",""
"ACCO17","Acacia conspersa F. Muell.","","","",""
"VACO9","Acacia constricta Benth.","","","",""
"VACO9","Acacia constricta Benth. var. constricta","","","",""
"VACO9","Acacia constricta Benth. var. paucispina Wooton & Standl.","","","",""
"VAVE","Acacia constricta Benth. var. vernicosa","","","",""
"ACCO18","Acacia continua Benth.","","","",""
"VACO10","Acacia cornigera","","","",""
"ACCR2","Acacia craspedocarpa F. Muell.","","","",""
"ACCU4","Acacia cultriformis A. Cunn. ex G. Don","","","",""
"ACCU5","Acacia cupularis Domin","","","",""
"ACANH2","Acacia cuspidata Schltdl.","","","",""
"ACSA","Acacia cyanophylla Lindl.","","","",""
"ACAC7","Acacia cyclophylla Schltdl.","","","",""
"ACCY2","Acacia cyclops A. Cunn. ex G. Don","","","",""
"VADA3","Acacia davyi N.E. Br.","","","",""
"ACDE3","Acacia dealbata Link","","","",""
"ACDE11","Acacia deanei","","","",""
"ACDEP2","Acacia deanei","","","",""
"ACDE12","Acacia decora Rchb.","","","",""
"ACDE","Acacia decurrens","","","",""
"ACDE3","Acacia decurrens","","","",""
"ACME80","Acacia decurrens","","","",""
"SEME9","Acacia detinens Burch.","","","",""
"ACDI7","Acacia dietrichiana F. Muell.","","","",""
"ACDI8","Acacia difformis R.T. Baker","","","",""
"ACGE8","Acacia diffusa Lindl.","","","",""
"ACDO2","Acacia doratoxylon A. Cunn.","","","",""
"ACDR2","Acacia drummondii Lindl.","","","",""
"ACDU3","Acacia dunnii Turrill","","","",""
"VAEB","Acacia eburnea","","","",""
"ACEL","Acacia elata A. Cunn. ex Benth.","","","",""
"ACER4","Acacia erioloba E. Mey.","","","",""
"SEER8","Acacia erubescens Welw. ex Oliv.","","","",""
"ACES2","Acacia estrophiolata F. Muell.","","","",""
"ACEX3","Acacia extensa Lindl.","","","",""
"VAFA","Acacia farnesiana","","","",""
"VAFA","Acacia farnesiana","","","",""
"ACFI4","Acacia fimbriata A. Cunn. ex G. Don","","","",""
"ACFL6","Acacia floribunda","","","",""
"SEGA4","Acacia galpinii Burtt Davy","","","",""
"ACGE8","Acacia genistifolia Link","","","",""
"VAGE2","Acacia gerrardii Benth.","","","",""
"VAGE2","Acacia gerrardii Benth. ssp. negevensis Zohary","","","",""
"VAGE2","Acacia gerrardii Benth. var. najdensis S. A. Chaudhary","","","",""
"ACGL5","Acacia gladiiformis A. Cunn. ex Benth.","","","",""
"ACGL6","Acacia glandulicarpa Reader","","","",""
"ACGL7","Acacia glauca","","","",""
"SEGO","Acacia goetzei Harms","","","",""
"ACGR9","Acacia gracilifolia Maiden & Blakely","","","",""
"ACHE12","Acacia graffiana F. Muell.","","","",""
"SEGR4","Acacia greggii A. Gray","","","",""
"SEGR4","Acacia greggii A. Gray var. arizonica Isely","","","",""
"SEGR4","Acacia greggii A. Gray var. greggii","","","",""
"SEWR4","Acacia greggii A. Gray var. wrightii","","","",""
"ACHA4","Acacia hakeoides A. Cunn. ex Benth.","","","",""
"VAHE2","Acacia hebeclada DC.","","","",""
"ACHE12","Acacia hemiteles Benth.","","","",""
"ACANH2","Acacia hirta Nutt.","","","",""
"ACSH2","Acacia hirta Nutt. ssp. lemmonii","","","",""
"ACHO2","Acacia holosericea A. Cunn. ex G. Don","","","",""
"ACOM","Acacia homalophylla A. Cunn. ex Benth.","","","",""
"VAHO","Acacia horrida","","","",""
"ACHO5","Acacia howittii F. Muell.","","","",""
"ACIM4","Acacia imbricata F. Muell.","","","",""
"ACIM5","Acacia implexa Benth.","","","",""
"ACIR","Acacia irrorata Sieber ex Spreng.","","","",""
"ACIT2","Acacia iteaphylla F. Muell. ex Benth.","","","",""
"ACIX2","Acacia ixiophylla Benth.","","","",""
"ACJI","Acacia jibberdingensis Maiden & Blakely","","","",""
"ACJO2","Acacia jonesii F. Muell. & Maiden","","","",""
"ACUL2","Acacia juniperina","","","",""
"VAKA","Acacia karroo Hayne","","","",""
"ACKO","Acacia kauaiensis Hillebr.","","","",""
"ACKO","Acacia koa A. Gray","","","",""
"ACKO","Acacia koa A. Gray var. hawaiiensis Rock","","","",""
"ACKO","Acacia koa A. Gray var. lanaiensis Rock","","","",""
"ACKO","Acacia koa A. Gray var. waimeae Hochr.","","","",""
"ACKO2","Acacia koaia Hillebr.","","","",""
"ACLA10","Acacia lanuginophylla R.S. Cowan & Maslin","","","",""
"ACLA10","Acacia lanuginosa C.A. Gardner, nom. illeg.","","","",""
"ACLA6","Acacia lasiocalyx C.R.P. Andrews","","","",""
"ACLO","Acacia latifolia hort.","","","",""
"ACLE7","Acacia leiophylla Benth.","","","",""
"ACSH2","Acacia lemmonii Rose","","","",""
"ACLI8","Acacia ligulata Benth.","","","",""
"ACLO8","Acacia linearis Sims","","","",""
"ACLI5","Acacia lineata A. Cunn. ex G. Don","","","",""
"ACLOS3","Acacia longifolia","","","",""
"ACLO","Acacia longifolia","","","",""
"ACLOS3","Acacia longifolia","","","",""
"ACLO8","Acacia longissima H.L. Wendl.","","","",""
"ACSU11","Acacia luehmannii F. Muell.","","","",""
"VAMA4","Acacia macracantha Humb. & Bonpl. ex Willd.","","","",""
